player_name,team_name,Total_Passes,AccLB,InAccLB,AccSP,InAccSP
Zanka,Brentford,24.7,0.7,1.7,19.3,2.9
Patrick Bamford,Leeds,11.6,0,0.1,8.1,3.4
Édouard Mendy,Chelsea,24.2,4.2,5.4,14.4,0.2
Alejandro Garnacho,Manchester United,9.7,0.2,0.1,7.7,1.7
Jeremy Sarmiento,Brighton,7.1,0,0.2,5.7,1.2
Kieffer Moore,Bournemouth,13.1,0.2,0.2,7.6,5.1
Raúl Jiménez,Wolves,12.6,0.4,0.4,8.5,3.3
Jaidon Anthony,Bournemouth,15.4,0.5,0.6,11.5,2.8
Danny Ings,West Ham,8.7,0.2,0.4,5.2,2.9
Isaac Price,Everton,13,0,0,11,2
Mark Travers,Bournemouth,26.1,6.8,7.2,12.1,0.1
Mikkel Damsgaard,Brentford,14.3,0.4,0.7,10,3.2
Mason Holgate,Everton,24.5,1.9,4.3,14.6,3.8
Deniz Undav,Brighton,7.4,0.2,0.1,5.4,1.7
Cole Palmer,Manchester City,13.2,0.3,0.2,11.4,1.3
James Milner,Liverpool,19.6,1,1,14.9,2.6
Takehiro Tomiyasu,Arsenal,19.6,0.7,1,15.5,2.5
Billy Gilmour,Brighton,28.8,1.2,0.7,24.8,2.1
Lewis Miley,Newcastle,6,0,0,5,1
Jamie Vardy,Leicester,6.9,0.2,0.1,3.5,3.1
