player_name,team_name,Total_Goals,SixYardBox_Goals,PenaltyArea_Goals,OutOfBox_Goals
Justin-Noel Kalumba,Angers,0,0,0,0
Gaël Kakuta,Lens,0,0,0,0
Amar Fatah,Troyes,0,0,0,0
Joe Bryan,Nice,0,0,0,0
Marin Jakolis,Angers,0,0,0,0
Martin Adeline,Reims,0,0,0,0
Kyliane Dong,Troyes,0,0,0,0
Flavius Daniliuc,Nice,0,0,0,0
Théo Pellenard,Auxerre,0,0,0,0
Lohann Doucet,Nantes,0,0,0,0
Qazim Laçi,AC Ajaccio,0,0,0,0
Derek Mazou-Sacko,Troyes,0,0,0,0
Antonin Bobichon,Angers,0,0,0,0
Axel Camblan,Brest,0,0,0,0
Ousmane Camara,Angers,0,0,0,0
Adil Aouchiche,Lorient,0,0,0,0
Duje Caleta-Car,Marseille,0,0,0,0
Rémy Dugimont,Auxerre,0,0,0,0
Mohamed Achi,Nantes,0,0,0,0
Alexis Tibidi,Troyes,0,0,0,0
Ben Touré,AC Ajaccio,0,0,0,0
Samuel Koeberlé,Reims,0,0,0,0
Yanis Massolin,Clermont Foot,0,0,0,0
Waniss Taïbi,Angers,0,0,0,0
Chrislain Matsima,Lorient,0,0,0,0
Stredair Appuah,Nantes,0,0,0,0
Ivane Chegra,AC Ajaccio,0,0,0,0
Noah Holm,Reims,0,0,0,0
Félix Lemaréchal,Brest,0,0,0,0
Mamadou Diakhon,Reims,0,0,0,0
Ilyés Chétti,Angers,0,0,0,0
Jean-Mattéo Bahoya,Angers,0,0,0,0
Brandon Baiye,Clermont Foot,0,0,0,0
Eli Kroupi,Lorient,0,0,0,0
Marvin Senaya,Strasbourg,0,0,0,0
Rémy Labeau-Lascary,Lens,0,0,0,0
Marlos Moreno,Troyes,0,0,0,0
El Chadaille Bitshiabu,Paris Saint-Germain,0,0,0,0
Veljko Birmancevic,Toulouse,0,0,0,0
Valentin Atangana Edoa,Reims,0,0,0,0
Tristan Dingomé,Troyes,0,0,0,0
Dogan Alemdar,Rennes,0,0,0,0
Mohamed Touré,Reims,0,0,0,0
